id,type,tags,lat,lon,nds,members,changeset,timestamp,uid,user,version
775745348,node,"{wheelchair=yes, addr:suburb=Tiergarten, toilets:wheelchair=yes, website=http://www.pgdiakonie.de/evangelische-elisabeth-klinik, addr:housenumber=24-26, phone=030 25061, amenity=hospital, addr:country=DE, name=Evangelische Elisabeth Klinik, addr:street=Lützowstraße, addr:postcode=10785, addr:city=Berlin}",52.5037269,13.3640559,[],[],34341124,2015-09-30 09:05:50.000,290680,wheelmap_visitor,10
5056974011,node,"{website=http://www.privatklinik-schlossstrasse.de/, level=6, phone=+49 30 74770840, amenity=clinic, name=Privatklinik Schlossstraße - Fachklinik für Brustvergrößerung und Brustformung, healthcare:speciality=plastic_surgery, fax=+49 30 74770849, email=info@pk-schloss.de, healthcare=clinic}",52.4565402,13.3197406,[],[],51416439,2017-08-24 19:29:45.000,1468248,TheBlackMan,1
2851155103,node,"{wheelchair=yes, website=https://zahnmedizin.charite.de/, amenity=clinic, addr:country=DE, emergency=yes, source=Geoportal Berlin / Hauskoordinaten, addr:postcode=14197, addr:city=Berlin, healthcare=dentist, addr:suburb=Wilmersdorf, addr:housenumber=4-6, name=Zahnklinik/Zahnärztlicher Notfalldienst, addr:street=Aßmannshauser Straße}",52.4766498,13.3133427,[],[],55544022,2018-01-18 09:13:19.000,114161,Polarbear,5
1298216828,node,"{wheelchair=yes, website=http://www.dhzb.de, amenity=clinic, addr:country=DE, addr:postcode=13353, addr:city=Berlin, addr:suburb=Wedding, addr:housenumber=1, contact:phone=030 45931000, name=Deutsches Herzzentrum Berlin, wikipedia=de:Deutsches Herzzentrum Berlin, addr:street=Augustenburger Platz, wikidata=Q1205694}",52.5422772,13.3473804,[],[],40275623,2016-06-25 04:51:06.000,43566,anbr,6
2821025302,node,"{wheelchair=yes, addr:suburb=Charlottenburg, addr:housenumber=57, contact:phone=+49 30 31007866, amenity=clinic, addr:country=DE, name=Nierenzentrum Charlottenburg, opening_hours=Mo,We,Fr 07:00-23:00; Tu,Th,Sa 07:00-15:00, addr:street=Wilmersdorfer Straße, addr:postcode=10627, contact:website=http://www.nierenzentrum-charlottenburg.de, addr:city=Berlin}",52.5076863,13.3060017,[],[],36104033,2015-12-22 12:17:31.000,881429,atpl_pilot,6
2607028242,node,"{website=http://www.ajb-berlin.de/Kontakt-und-Beratungsstelle-Friedrichshain-Kreuzberg.29.0.html, amenity=clinic, name=Kontaktladen ""Transit""}",52.4949059,13.4194174,[],[],19777107,2014-01-02 22:16:32.000,1715819,avena701,1
3772788958,node,"{amenity=clinic, name=Hals-, Nasen-, Ohrenheilkunde, healthcare:speciality=otolaryngology}",52.5416884,13.3456098,[],[],34440661,2015-10-05 04:35:13.000,3083654,twonky,1
3772788960,node,"{amenity=clinic, name=Strahlentherapie Ambulantes Gesundheitszentrum, healthcare:speciality=radiotherapy}",52.5401501,13.3443105,[],[],34440903,2015-10-05 05:11:02.000,3083654,twonky,2
3772788961,node,"{amenity=clinic, name=Nuklearmedizin Funktionsdiagnostik, healthcare:speciality=nuclear}",52.5402208,13.3444199,[],[],34440903,2015-10-05 05:11:02.000,3083654,twonky,2
3772788962,node,"{amenity=clinic, name=Pharmakovigilanz- und Beratungszentrum für Embryonaltoxikologie}",52.5397442,13.3452304,[],[],51078577,2017-08-13 11:06:03.000,1497225,kartonage,2
